,G,Date,School,Opponent,Conf,,
0,1,"Sep 4, 2010",Washington,Brigham Young,MWC,@,L
1,2,"Sep 11, 2010",Washington,Syracuse,Big East,,W
2,3,"Sep 18, 2010",Washington,(8) Nebraska,Big 12,,L
3,4,"Oct 2, 2010",Washington,(18) USC,Pac-10,@,W
4,5,"Oct 9, 2010",Washington,Arizona State,Pac-10,,L
5,6,"Oct 16, 2010",Washington,(24) Oregon State,Pac-10,,W
6,7,"Oct 23, 2010",Washington,(15) Arizona,Pac-10,@,L
7,8,"Oct 30, 2010",Washington,(13) Stanford,Pac-10,,L
8,9,"Nov 6, 2010",Washington,(1) Oregon,Pac-10,@,L
9,10,"Nov 18, 2010",Washington,UCLA,Pac-10,,W
10,11,"Nov 27, 2010",Washington,California,Pac-10,@,W
11,12,"Dec 4, 2010",Washington,Washington State,Pac-10,@,W
12,13,"Dec 30, 2010",Washington,(17) Nebraska,Big 12,N,W
0,1,"Sep 3, 2011",Washington,Eastern Washington,Non-Major,,W
1,2,"Sep 10, 2011",Washington,Hawaii,WAC,,W
2,3,"Sep 17, 2011",Washington,(11) Nebraska,Big Ten,@,L
3,4,"Sep 24, 2011",Washington,California,Pac-12,,W
4,5,"Oct 1, 2011",Washington,Utah,Pac-12,@,W
5,6,"Oct 15, 2011",Washington,Colorado,Pac-12,,W
6,7,"Oct 22, 2011",(22) Washington,(7) Stanford,Pac-12,@,L
7,8,"Oct 29, 2011",Washington,Arizona,Pac-12,,W
8,9,"Nov 5, 2011",Washington,(6) Oregon,Pac-12,,L
9,10,"Nov 12, 2011",Washington,(18) USC,Pac-12,@,L
10,11,"Nov 19, 2011",Washington,Oregon State,Pac-12,@,L
11,12,"Nov 26, 2011",Washington,Washington State,Pac-12,,W
12,13,"Dec 29, 2011",Washington,(15) Baylor,Big 12,N,L
0,1,"Sep 1, 2012",Washington,San Diego State,MWC,,W
1,2,"Sep 8, 2012",Washington,(3) LSU,SEC,@,L
2,3,"Sep 15, 2012",Washington,Portland State,Non-Major,,W
3,4,"Sep 27, 2012",Washington,(8) Stanford,Pac-12,,W
4,5,"Oct 6, 2012",(23) Washington,(2) Oregon,Pac-12,@,L
5,6,"Oct 13, 2012",Washington,(11) USC,Pac-12,,L
6,7,"Oct 20, 2012",Washington,Arizona,Pac-12,@,L
7,8,"Oct 27, 2012",Washington,(7) Oregon State,Pac-12,,W
8,9,"Nov 2, 2012",Washington,California,Pac-12,@,W
9,10,"Nov 10, 2012",Washington,Utah,Pac-12,,W
10,11,"Nov 17, 2012",Washington,Colorado,Pac-12,@,W
11,12,"Nov 23, 2012",Washington,Washington State,Pac-12,@,L
12,13,"Dec 22, 2012",Washington,(20) Boise State,MWC,N,L
0,1,"Aug 31, 2013",Washington,(19) Boise State,MWC,,W
1,2,"Sep 14, 2013",(19) Washington,Illinois,Big Ten,N,W
2,3,"Sep 21, 2013",(17) Washington,Idaho State,Non-Major,,W
3,4,"Sep 28, 2013",(16) Washington,Arizona,Pac-12,,W
4,5,"Oct 5, 2013",(15) Washington,(5) Stanford,Pac-12,@,L
5,6,"Oct 12, 2013",(16) Washington,(2) Oregon,Pac-12,,L
6,7,"Oct 19, 2013",(20) Washington,Arizona State,Pac-12,@,L
7,8,"Oct 26, 2013",Washington,California,Pac-12,,W
8,9,"Nov 9, 2013",Washington,Colorado,Pac-12,,W
9,10,"Nov 15, 2013",Washington,(13) UCLA,Pac-12,@,L
10,11,"Nov 23, 2013",Washington,Oregon State,Pac-12,@,W
11,12,"Nov 29, 2013",Washington,Washington State,Pac-12,,W
12,13,"Dec 27, 2013",Washington,Brigham Young,Ind,N,W
0,1,"Aug 30, 2014",(25) Washington,Hawaii,MWC,@,W
1,2,"Sep 6, 2014",Washington,Eastern Washington,Non-Major,,W
2,3,"Sep 13, 2014",Washington,Illinois,Big Ten,,W
3,4,"Sep 20, 2014",Washington,Georgia State,Sun Belt,,W
4,5,"Sep 27, 2014",Washington,(16) Stanford,Pac-12,,L
5,6,"Oct 11, 2014",Washington,California,Pac-12,@,W
6,7,"Oct 18, 2014",Washington,(9) Oregon,Pac-12,@,L
7,8,"Oct 25, 2014",Washington,(14) Arizona State,Pac-12,,L
8,9,"Nov 1, 2014",Washington,Colorado,Pac-12,@,W
9,10,"Nov 8, 2014",Washington,(18) UCLA,Pac-12,,L
10,11,"Nov 15, 2014",Washington,(17) Arizona,Pac-12,@,L
11,12,"Nov 22, 2014",Washington,Oregon State,Pac-12,,W
12,13,"Nov 29, 2014",Washington,Washington State,Pac-12,@,W
13,14,"Jan 2, 2015",Washington,Oklahoma State,Big 12,N,L
0,1,"Sep 4, 2015",Washington,(23) Boise State,MWC,@,L
1,2,"Sep 12, 2015",Washington,Sacramento State,Non-Major,,W
2,3,"Sep 19, 2015",Washington,Utah State,MWC,,W
3,4,"Sep 26, 2015",Washington,California,Pac-12,,L
4,5,"Oct 8, 2015",Washington,(17) USC,Pac-12,@,W
5,6,"Oct 17, 2015",Washington,Oregon,Pac-12,,L
6,7,"Oct 24, 2015",Washington,(10) Stanford,Pac-12,@,L
7,8,"Oct 31, 2015",Washington,Arizona,Pac-12,,W
8,9,"Nov 7, 2015",Washington,(13) Utah,Pac-12,,L
9,10,"Nov 14, 2015",Washington,Arizona State,Pac-12,@,L
10,11,"Nov 21, 2015",Washington,Oregon State,Pac-12,@,W
11,12,"Nov 27, 2015",Washington,(20) Washington State,Pac-12,,W
12,13,"Dec 26, 2015",Washington,Southern Mississippi,CUSA,N,W
0,1,"Sep 3, 2016",(14) Washington,Rutgers,Big Ten,,W
1,2,"Sep 10, 2016",(8) Washington,Idaho,Sun Belt,,W
2,3,"Sep 17, 2016",(8) Washington,Portland State,Non-Major,,W
3,4,"Sep 24, 2016",(9) Washington,Arizona,Pac-12,@,W
4,5,"Sep 30, 2016",(10) Washington,(7) Stanford,Pac-12,,W
5,6,"Oct 8, 2016",(5) Washington,Oregon,Pac-12,@,W
6,7,"Oct 22, 2016",(5) Washington,Oregon State,Pac-12,,W
7,8,"Oct 29, 2016",(4) Washington,(17) Utah,Pac-12,@,W
8,9,"Nov 5, 2016",(4) Washington,California,Pac-12,@,W
9,10,"Nov 12, 2016",(4) Washington,USC,Pac-12,,L
10,11,"Nov 19, 2016",(7) Washington,Arizona State,Pac-12,,W
11,12,"Nov 25, 2016",(6) Washington,(23) Washington State,Pac-12,@,W
12,13,"Dec 2, 2016",(4) Washington,(9) Colorado,Pac-12,N,W
13,14,"Dec 31, 2016",(4) Washington,(1) Alabama,SEC,N,L
0,1,"Sep 1, 2017",(8) Washington,Rutgers,Big Ten,@,W
1,2,"Sep 9, 2017",(7) Washington,Montana,Non-Major,,W
2,3,"Sep 16, 2017",(6) Washington,Fresno State,MWC,,W
3,4,"Sep 23, 2017",(7) Washington,Colorado,Pac-12,@,W
4,5,"Sep 30, 2017",(6) Washington,Oregon State,Pac-12,@,W
5,6,"Oct 7, 2017",(6) Washington,California,Pac-12,,W
6,7,"Oct 14, 2017",(5) Washington,Arizona State,Pac-12,@,L
7,8,"Oct 28, 2017",(12) Washington,UCLA,Pac-12,,W
8,9,"Nov 4, 2017",(12) Washington,Oregon,Pac-12,,W
9,10,"Nov 10, 2017",(9) Washington,Stanford,Pac-12,@,L
10,11,"Nov 18, 2017",(16) Washington,Utah,Pac-12,,W
11,12,"Nov 25, 2017",(15) Washington,(14) Washington State,Pac-12,,W
12,13,"Dec 30, 2017",(12) Washington,(9) Penn State,Big Ten,N,L
0,1,"Sep 1, 2018",(6) Washington,(9) Auburn,SEC,N,L
1,2,"Sep 8, 2018",(9) Washington,North Dakota,Non-Major,,W
2,3,"Sep 15, 2018",(10) Washington,Utah,Pac-12,@,W
3,4,"Sep 22, 2018",(10) Washington,Arizona State,Pac-12,,W
4,5,"Sep 29, 2018",(11) Washington,(20) Brigham Young,Ind,,W
5,6,"Oct 6, 2018",(10) Washington,UCLA,Pac-12,@,W
6,7,"Oct 13, 2018",(7) Washington,(17) Oregon,Pac-12,@,L
7,8,"Oct 20, 2018",(15) Washington,Colorado,Pac-12,,W
8,9,"Oct 27, 2018",(15) Washington,California,Pac-12,@,L
9,10,"Nov 3, 2018",Washington,Stanford,Pac-12,,W
10,11,"Nov 17, 2018",(17) Washington,Oregon State,Pac-12,,W
11,12,"Nov 23, 2018",(16) Washington,(7) Washington State,Pac-12,@,W
